month,day,year,Dischrge_ft,"Dischrge,m3/s",PRCP_inch_SAC_CITY,PRCP(mm),
1,1,2008,186,5.208,0,0,835.57872
1,2,2008,147,4.116,0,0,
1,3,2008,158,4.424,0,0,
1,4,2008,206,5.768,0,0,
1,5,2008,219,6.132,0,0,
1,6,2008,279,7.812,0,0,
1,7,2008,268,7.504,0,0,
1,8,2008,221,6.188,0,0,
1,9,2008,210,5.88,0,0,
1,10,2008,225,6.3,0,0,
1,11,2008,208,5.824,0,0,
1,12,2008,232,6.496,0,0,
1,13,2008,206,5.768,0,0,
1,14,2008,188,5.264,0,0,
1,15,2008,182,5.096,0,0,
1,16,2008,228,6.384,0,0,
1,17,2008,188,5.264,0.18,4.572,
1,18,2008,140,3.92,0,0,
1,19,2008,118,3.304,0,0,
1,20,2008,123,3.444,0,0,
1,21,2008,221,6.188,0.13,3.302,
1,22,2008,150,4.2,0.04,1.016,
1,23,2008,103,2.884,0.03,0.762,
1,24,2008,88.6,2.4808,0,0,
1,25,2008,130,3.64,0.06,1.524,
1,26,2008,140,3.92,0,0,
1,27,2008,160,4.48,0,0,
1,28,2008,160,4.48,0,0,
1,29,2008,146,4.088,0.04,1.016,
1,30,2008,129,3.612,0.14,3.556,
1,31,2008,127,3.556,0,0,
2,1,2008,127,3.556,0,0,
2,2,2008,147,4.116,0,0,
2,3,2008,137,3.836,0,0,
2,4,2008,152,4.256,0.13,3.302,
2,5,2008,140,3.92,0,0,
2,6,2008,112,3.136,0,0,
2,7,2008,132,3.696,0,0,
2,8,2008,167,4.676,0,0,
2,9,2008,125,3.5,0,0,
2,10,2008,92.1,2.5788,0,0,
2,11,2008,74.4,2.0832,0.12,3.048,
2,12,2008,82,2.296,0.28,7.112,
2,13,2008,107,2.996,0,0,
2,14,2008,99.6,2.7888,0,0,
2,15,2008,66.9,1.8732,0,0,
2,16,2008,110,3.08,0,0,
2,17,2008,140,3.92,0,0,
2,18,2008,112,3.136,0,0,
2,19,2008,99.6,2.7888,0,0,
2,20,2008,77,2.156,0,0,
2,21,2008,47.6,1.3328,0,0,
2,22,2008,41.1,1.1508,0,0,
2,23,2008,47.6,1.3328,0,0,
2,24,2008,56.2,1.5736,0,0,
2,25,2008,73.5,2.058,0,0,
2,26,2008,102,2.856,0.8,20.32,
2,27,2008,138,3.864,0,0,
2,28,2008,92.1,2.5788,0,0,
2,29,2008,151,4.228,0,0,
3,1,2008,235,6.58,0,0,
3,2,2008,452,12.656,0,0,
3,3,2008,732,20.496,0,0,
3,4,2008,582,16.296,0,0,
3,5,2008,489,13.692,0.07,1.778,
3,6,2008,573,16.044,0,0,
3,7,2008,452,12.656,0,0,
3,8,2008,395,11.06,0,0,
3,9,2008,386,10.808,0,0,
3,10,2008,367,10.276,0,0,
3,11,2008,489,13.692,0,0,
3,12,2008,1460,40.88,0,0,
3,13,2008,2690,75.32,0,0,
3,14,2008,2800,78.4,0,0,
3,15,2008,2520,70.56,0,0,
3,16,2008,1700,47.6,0,0,
3,17,2008,1180,33.04,0.14,3.556,
3,18,2008,949,26.572,0,0,
3,19,2008,966,27.048,0,0,
3,20,2008,1020,28.56,0,0,
3,21,2008,1070,29.96,0,0,
3,22,2008,924,25.872,0,0,
3,23,2008,743,20.804,0,0,
3,24,2008,632,17.696,0,0,
3,25,2008,587,16.436,0,0,
3,26,2008,552,15.456,0,0,
3,27,2008,515,14.42,0.28,7.112,
3,28,2008,478,13.384,0,0,
3,29,2008,458,12.824,0,0,
3,30,2008,495,13.86,0,0,
3,31,2008,665,18.62,0.29,7.366,
4,1,2008,1410,39.48,0.71,18.034,
4,2,2008,1300,36.4,0,0,
